url,title
http://books.toscrape.com/catalogue/louisa-the-extraordinary-life-of-mrs-adams_818/index.html,Louisa: The Extraordinary Life of Mrs. Adams
http://books.toscrape.com/catalogue/little-red_817/index.html,Little Red
http://books.toscrape.com/catalogue/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html,Library of Souls (Miss Peregrine’s Peculiar Children #3)
http://books.toscrape.com/catalogue/large-print-heart-of-the-pride_815/index.html,Large Print Heart of the Pride
http://books.toscrape.com/catalogue/frostbite-vampire-academy-2_810/index.html,Frostbite (Vampire Academy #2)
http://books.toscrape.com/catalogue/follow-you-home_809/index.html,Follow You Home
http://books.toscrape.com/catalogue/hollow-city-miss-peregrines-peculiar-children-2_813/index.html,Hollow City (Miss Peregrine’s Peculiar Children #2)
http://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html,I Had a Nice Time And Other Lies...: How to find love & sh*t like that
http://books.toscrape.com/catalogue/grumbles_812/index.html,Grumbles
http://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond
http://books.toscrape.com/catalogue/eureka-trivia-60_805/index.html,Eureka Trivia 6.0
http://books.toscrape.com/catalogue/drive-the-surprising-truth-about-what-motivates-us_804/index.html,Drive: The Surprising Truth About What Motivates Us
http://books.toscrape.com/catalogue/deliciously-ella-every-day-quick-and-easy-recipes-for-gluten-free-snacks-packed-lunches-and-simple-meals_801/index.html,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals"
http://books.toscrape.com/catalogue/fables-vol-1-legends-in-exile-fables-1_806/index.html,"Fables, Vol. 1: Legends in Exile (Fables #1)"
http://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html,Finders Keepers (Bill Hodges Trilogy #2)
http://books.toscrape.com/catalogue/first-steps-for-new-christians-print-edition_808/index.html,First Steps for New Christians (Print Edition)
http://books.toscrape.com/catalogue/done-rubbed-out-reightman-bailey-1_803/index.html,Done Rubbed Out (Reightman & Bailey #1)
http://books.toscrape.com/catalogue/doing-it-over-most-likely-to-1_802/index.html,Doing It Over (Most Likely To #1)
http://books.toscrape.com/catalogue/dark-notes_800/index.html,Dark Notes
http://books.toscrape.com/catalogue/daring-greatly-how-the-courage-to-be-vulnerable-transforms-the-way-we-live-love-parent-and-lead_799/index.html,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead"
http://books.toscrape.com/catalogue/close-to-you_798/index.html,Close to You
http://books.toscrape.com/catalogue/big-magic-creative-living-beyond-fear_796/index.html,Big Magic: Creative Living Beyond Fear
http://books.toscrape.com/catalogue/chasing-heaven-what-dying-taught-me-about-living_797/index.html,Chasing Heaven: What Dying Taught Me About Living
http://books.toscrape.com/catalogue/becoming-wise-an-inquiry-into-the-mystery-and-art-of-living_795/index.html,Becoming Wise: An Inquiry into the Mystery and Art of Living
http://books.toscrape.com/catalogue/beauty-restored-riley-family-legacy-novellas-3_794/index.html,Beauty Restored (Riley Family Legacy Novellas #3)
http://books.toscrape.com/catalogue/amy-meets-the-saints-and-sages_789/index.html,Amy Meets the Saints and Sages
http://books.toscrape.com/catalogue/amid-the-chaos_788/index.html,Amid the Chaos
http://books.toscrape.com/catalogue/batman-the-dark-knight-returns-batman_792/index.html,Batman: The Dark Knight Returns (Batman)
http://books.toscrape.com/catalogue/ayumis-violin_791/index.html,Ayumi's Violin
http://books.toscrape.com/catalogue/batman-the-long-halloween-batman_793/index.html,Batman: The Long Halloween (Batman)
http://books.toscrape.com/catalogue/anonymous_790/index.html,Anonymous
